organism,header_genome,mitogenome,Shortcut (renamed),tax_id,five_letter_code,default_location,header_mitogenome,assembly_location,assembly,mito_assembly_location,mito_assembly,
Naegleria fowleri,Nfowleri,mitogenome_<genename>_Nfowleri,NaegFowl,5763,NAEFO,n,Nfowleri*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_008403515.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_021104,
Naegleria gruberi,Ngruberi,mitogenome_<genename>_Ngruberi,NaegGrub,5762,NAEGR,n,Ngruberi*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000004985.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_002573.1,
Naegleria gruberi,NgruberiMITOPRO,mitogenome_<genename>_Ngruberi,NaegGrub,5762,NAEGR,u,Ngruberi*,Mitoproteome,https://www.nature.com/articles/s41467-021-23046-7,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_002573.1,
Naegleria gruberi,NgruberiRNA,mitogenome_<genename>_Ngruberi,NaegGrub,5762,NAEGR,u,Ngruberi*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/ERR2215457,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_002573.1,
Naegleria lovaniensis,Nlovaniensis,(mitogenome does not contain predicted ribosomal protein genes),NaegLova,51637,NAELO,u,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_003324165.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/CM010401.2/,
Andalucia godoyi,Andalucia,mitogenome_<genename>_Andalucia,AndaGodo,505711,ANDGO,n,Andalucia*,Genome,https://academic.oup.com/mbe/article/38/3/788/5901548,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_021124.1,
Andalucia godoyi,AgodoyiRNA,,AndaGodo,505711,ANDGO,u,,Transcriptome,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001365,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_021124.1,
Reclinomonas americana,Reclinomonas,mitogenome_<genename>_Reclinomonas,ReclAmer,48483,RECAM,n,Reclinomonas*,Genome,https://academic.oup.com/mbe/article/38/3/788/5901548,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_001823.1,
Tsukubamonas globosa,Tsukubamonas,mitogenome_<genename>_tsukubamonas,TsukGlob,875863,TSUGL,u,tsukubamonas,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/DRR014073,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_023545.1,
Raineriophrys erinaceoides,Raineriophrys,(mitogenome not sequenced),RainErin,299833,RAIER,u,,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR2170634,,,
Raphidiophrys heterophryoidea,Raphidiophrys,(mitogenome not sequenced),RaphHete,1703429,RAPHE,u,,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR2170621,,,
Chrysochromulina tobinii,Chrysochromulina,mitogenome_<genename>_ChrysochromCCMP291,ChryTobi,1460289,CHRTO,n,ChrysochromCCMP291,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_001275005.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/KJ201908.1,
Emiliania (Gephyrocapsa) huxleyi,Emiliania,mitogenome_<genename>_Emiliania,EmilHuxl,2903,EMIHU,n,Emiliania*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000372725.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/AY342361.1,
Hemimastix kukwesjijk,Hemimastix,(mitogenome not sequenced),HemiKukw,2027451,HEMKU,u,,Transcriptome,https://doi.org/10.5061/dryad.n5g39d7,,,
Gefionella okellyi,Gefionella,mitogenome_<genename>_Gefionella,GefiOkel,2853422,GEFOK,u,Gefionella*,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR5996795,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/KP165390.1,
Malawimonas californiana,Malawimonascalif,mitogenome_<genename>_Mcaliforniana,MalaCali,221722,MALCL,u,Mcaliforniana,Transcriptome,https://www.ncbi.nlm.nih.gov/bioproject/12813,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_026311.1,
Malawimonas jakobiformis,Malawimonasjakob,mitogenome_<genename>_Mjakobiformis,MalaJako,136089,MALJA,u,Mjakobiformis,Transcriptome,https://www.ncbi.nlm.nih.gov/bioproject/12815,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_002553.1,
Giardia intestinalis,Giardia,,,5741,GIAIN,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000002435.2/,,,
Trichomonas vaginalis,Trichomonas,,,5722,TRIVA,n,,Genome,http://trichdb.org/common/downloads/Current_Release/TvaginalisG3/fasta/data/,,,
Monocercomonoides exilis,Monocercomonoides,,,2049356,MONE2,n,,Genome,https://giardiadb.org,,,
Thecamonas trahens,Thecamonas,mitogenome_<genename>_Thecamonas,ThecTrah,529818,THETB,n,Thecamonas*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000142905.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_026452.1,
Pygsuia biforma,Pygsuia,,,1277256,PYGBI,u,,Transcriptome,https://www.ncbi.nlm.nih.gov/sra/SRR766063,,,
Allomyces macrogynus,Allomyces,mitogenome_<genename>_Allomyces,AlloMacr,28583,ALLMA,n,Allomyces*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_000151295.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_001715.1,
Saccharomyces cerevisiae*,Saccharomyces,mitogenome_<genename>_Saccharomyces,SaccCere,4932,YEASX,n,Saccharomyces*,Genome,https://www.science.org/doi/full/10.1126/science.1249410,,,
Ustilago maydis,Ustilago,mitogenome_<genename>_Ustilago,UstiMayd,5270,USTMD,n,Ustilago*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000328475.2/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_008368.1,
Mitosporidium daphniae,Mitosporidium,(mitogenome not sequenced),MitoDaph,1485682,MITDA,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCF_000760515.2/,,,
Paramicrosporidium saccamoebae,Paramicrosporidium,mitogenome_<genename>_Paramicrosporidium,ParaSacc,1246581,PARS2,n,Paramicrosporidium*,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_002794465.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/CM008827.1,
Rozella allomycis,Rozella,(mitogenome does not contain ribosomal protein genes),RozeAllo,281847,ROZAL,n,,Genome,https://www.ncbi.nlm.nih.gov/data-hub/genome/GCA_003614725.1/,Mitogenome,https://www.ncbi.nlm.nih.gov/nuccore/NC_021611.1,
